record,sheet,first_column,load_mass_g,total_mass_g,mass_ratio,family,block,role,start_sample,stop_sample,start_time_s,end_time_s
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,3,training,1399,1799,1.2000000476837158,1.5989999771118164
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,4,training,1799,2199,1.600000023841858,1.9989999532699585
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,5,test,2199,2599,2.0,2.3989999294281006
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,6,training,2599,2999,2.4000000953674316,2.7990000247955322
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,7,training,2999,3399,2.799999952316284,3.1989998817443848
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,8,validation,3399,3799,3.200000047683716,3.5989999771118164
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,9,training,3799,4199,3.5999999046325684,3.999000072479248
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,10,training,4199,4599,4.0,4.39900016784668
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,11,test,4599,4999,4.400000095367432,4.798999786376953
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,12,training,4999,5399,4.800000190734863,5.198999881744385
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,13,training,5399,5799,5.199999809265137,5.598999977111816
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,14,validation,5799,6199,5.599999904632568,5.999000072479248
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,15,training,6199,6599,6.0,6.39900016784668
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,16,training,6599,6999,6.400000095367432,6.798999786376953
Load2_DCChirp_87mA_31Hz_7s,DC_Offset_87mA,0,3.813,5.24,1.0,dc_plus_chirp,17,test,6999,7200,6.800000190734863,7.0
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,0,training,199,599,0.0,0.39899998903274536
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,2,validation,999,1399,0.800000011920929,1.1990000009536743
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,3,training,1399,1799,1.2000000476837158,1.5989999771118164
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,4,training,1799,2199,1.600000023841858,1.9989999532699585
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,5,test,2199,2599,2.0,2.3989999294281006
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,6,training,2599,2999,2.4000000953674316,2.7990000247955322
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,7,training,2999,3399,2.799999952316284,3.1989998817443848
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,8,validation,3399,3799,3.200000047683716,3.5989999771118164
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,9,training,3799,4199,3.5999999046325684,3.999000072479248
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,10,training,4199,4599,4.0,4.39900016784668
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,11,test,4599,4999,4.400000095367432,4.798999786376953
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,12,training,4999,5399,4.800000190734863,5.198999881744385
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,13,training,5399,5799,5.199999809265137,5.598999977111816
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,14,validation,5799,6199,5.599999904632568,5.999000072479248
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,15,training,6199,6599,6.0,6.39900016784668
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,16,training,6599,6999,6.400000095367432,6.798999786376953
Load2_DCChirp_107mA_31Hz_7s,DC_Offset_107mA,0,3.813,5.24,1.0,dc_plus_chirp,17,test,6999,7200,6.800000190734863,7.0
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,0,training,199,599,0.0,0.39899998903274536
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,2,validation,999,1399,0.800000011920929,1.1990000009536743
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,3,training,1399,1799,1.2000000476837158,1.5989999771118164
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,4,training,1799,2199,1.600000023841858,1.9989999532699585
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,5,test,2199,2599,2.0,2.3989999294281006
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,6,training,2599,2999,2.4000000953674316,2.7990000247955322
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,7,training,2999,3399,2.799999952316284,3.1989998817443848
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,8,validation,3399,3799,3.200000047683716,3.5989999771118164
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,9,training,3799,4199,3.5999999046325684,3.999000072479248
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,10,training,4199,4599,4.0,4.39900016784668
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,11,test,4599,4999,4.400000095367432,4.798999786376953
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,12,training,4999,5399,4.800000190734863,5.198999881744385
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,13,training,5399,5799,5.199999809265137,5.598999977111816
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,14,validation,5799,6199,5.599999904632568,5.999000072479248
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,15,training,6199,6599,6.0,6.39900016784668
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,16,training,6599,6999,6.400000095367432,6.798999786376953
Load2_DCChirp_127mA_31Hz_7s,DC_Offset_127mA,0,3.813,5.24,1.0,dc_plus_chirp,17,test,6999,7200,6.800000190734863,7.0
Load2_DCChirp_147mA_31Hz_7s,DC_Offset_147mA,0,3.813,5.24,1.0,dc_plus_chirp,0,pure_test,199,7200,0.0,7.0
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,0,training,199,599,0.0,0.39899998903274536
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,2,validation,999,1399,0.800000011920929,1.1990000009536743
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,3,training,1399,1799,1.2000000476837158,1.5989999771118164
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,4,training,1799,2199,1.600000023841858,1.9989999532699585
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,5,test,2199,2599,2.0,2.3989999294281006
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,6,training,2599,2999,2.4000000953674316,2.7990000247955322
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,7,training,2999,3399,2.799999952316284,3.1989998817443848
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,8,validation,3399,3799,3.200000047683716,3.5989999771118164
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,9,training,3799,4199,3.5999999046325684,3.999000072479248
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,10,training,4199,4599,4.0,4.39900016784668
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,11,test,4599,4999,4.400000095367432,4.798999786376953
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,12,training,4999,5399,4.800000190734863,5.198999881744385
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,13,training,5399,5799,5.199999809265137,5.598999977111816
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,14,validation,5799,6199,5.599999904632568,5.999000072479248
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,15,training,6199,6599,6.0,6.39900016784668
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,16,training,6599,6999,6.400000095367432,6.798999786376953
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,17,test,6999,7399,6.800000190734863,7.198999881744385
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,18,training,7399,7799,7.199999809265137,7.598999977111816
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,19,training,7799,8199,7.599999904632568,7.999000072479248
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,20,validation,8199,8599,8.0,8.39900016784668
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,21,training,8599,8999,8.399999618530273,8.798999786376953
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,22,training,8999,9399,8.800000190734863,9.199000358581543
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,23,test,9399,9799,9.199999809265137,9.598999977111816
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,24,training,9799,10199,9.600000381469727,9.99899959564209
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,25,training,10199,10599,10.0,10.39900016784668
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,26,validation,10599,10999,10.399999618530273,10.798999786376953
Load2_DCChirp_107mA_51Hz_11s,Sheet1,0,3.813,5.24,1.0,dc_plus_chirp,27,training,10999,11200,10.800000190734863,11.0
Load1_DCSine_120mA_0.8s,Sheet3,0,1.906,3.333,0.6360687022900764,dc_plus_sine,0,training,199,599,0.0,0.39899998903274536
Load1_DCSine_120mA_0.8s,Sheet3,0,1.906,3.333,0.6360687022900764,dc_plus_sine,1,training,599,999,0.4000000059604645,0.7990000247955322
Load1_DCSine_120mA_0.8s,Sheet3,0,1.906,3.333,0.6360687022900764,dc_plus_sine,2,unused_short_remainder,999,1000,0.800000011920929,0.800000011920929
Load1_Step_120mA_0.8s,Sheet3,5,1.906,3.333,0.6360687022900764,step,0,training,199,599,0.0,0.39899998903274536
Load1_Step_120mA_0.8s,Sheet3,5,1.906,3.333,0.6360687022900764,step,1,training,599,999,0.4000000059604645,0.7990000247955322
Load1_Step_120mA_0.8s,Sheet3,5,1.906,3.333,0.6360687022900764,step,2,unused_short_remainder,999,1000,0.800000011920929,0.800000011920929
Load1_Sine_120mA_0.8s,Sheet3,10,1.906,3.333,0.6360687022900764,sine,0,training,199,599,0.0,0.39899998903274536
Load1_Sine_120mA_0.8s,Sheet3,10,1.906,3.333,0.6360687022900764,sine,1,training,599,999,0.4000000059604645,0.7990000247955322
Load1_Sine_120mA_0.8s,Sheet3,10,1.906,3.333,0.6360687022900764,sine,2,unused_short_remainder,999,1000,0.800000011920929,0.800000011920929
Load1_ZeroInput_0.793s,Sheet3,15,1.906,3.333,0.6360687022900764,zero_input,0,training,199,599,0.0,0.39899998903274536
Load1_ZeroInput_0.793s,Sheet3,15,1.906,3.333,0.6360687022900764,zero_input,1,training,599,993,0.4000000059604645,0.7929999828338623
Load2_DCSine_150mA_0.8s,Sheet4,0,3.813,5.24,1.0,dc_plus_sine,0,training,199,599,0.0,0.39899998903274536
Load2_DCSine_150mA_0.8s,Sheet4,0,3.813,5.24,1.0,dc_plus_sine,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_DCSine_150mA_0.8s,Sheet4,0,3.813,5.24,1.0,dc_plus_sine,2,unused_short_remainder,999,1000,0.800000011920929,0.800000011920929
Load2_Step_150mA_0.8s,Sheet4,5,3.813,5.24,1.0,step,0,pure_test,199,1000,0.0,0.800000011920929
Load2_Sine_150mA_0.8s,Sheet4,10,3.813,5.24,1.0,sine,0,training,199,599,0.0,0.39899998903274536
Load2_Sine_150mA_0.8s,Sheet4,10,3.813,5.24,1.0,sine,1,training,599,999,0.4000000059604645,0.7990000247955322
Load2_Sine_150mA_0.8s,Sheet4,10,3.813,5.24,1.0,sine,2,unused_short_remainder,999,1000,0.800000011920929,0.800000011920929
Load2_ZeroInput_0.8s,Sheet4,15,3.813,5.24,1.0,zero_input,0,pure_test,199,1000,0.0,0.800000011920929
Load3_DCSine_200mA_1.6s,Sheet5,0,7.625,9.052,1.7274809160305342,dc_plus_sine,0,pure_test,199,1800,0.0,1.600000023841858
Load3_Step_200mA_1.6s,Sheet5,5,7.625,9.052,1.7274809160305342,step,0,pure_test,199,1800,0.0,1.600000023841858
Load3_Sine_200mA_1.6s,Sheet5,10,7.625,9.052,1.7274809160305342,sine,0,pure_test,199,1800,0.0,1.600000023841858
Load3_ZeroInput_1.6s,Sheet5,15,7.625,9.052,1.7274809160305342,zero_input,0,pure_test,199,1800,0.0,1.600000023841858
